customerID,name,DOB,gender,mailing address,contact person,phone numbers,education backgroud,marital status,job type,income,LegalServiceRequested
10157,Dangelo Roberts,7/1/1977,male,"78 Luna Street Moroni, UT 84646",Clay Mullen,(838) 019-1185,high school diploma,single,blue collar,56806,work injury
10329,Lyla Harrell,10/24/1972,male,"9017 Court Street Dammeron Valley, UT 84783",Adrian Osborne,(943) 663-3279,master degree,married,technician,101099,intellectual property
10385,Addyson Cervantes,2/8/1939,male,"26 Nichols Dr. Rush Valley, UT 84069",Gabriela Mason,(700) 338-6226,bachelor degree,married,retired,86103,medical settlement
10584,Ashlynn Armstrong,5/13/1978,female,"650 E. Frost Dr. Lindon, UT 84042",Brylee Morgan,(324) 892-3430,bachelor degree,single,management,37636,work injury
10839,Jude Perez,11/10/1945,male,"7 Hilldale Drive Snowville, UT 84336",Tucker Kirby,(761) 747-5772,bachelor degree,divorced,retired,79816,medical settlement
11020,Tyree Robles,1/15/1936,female,"61 Country Club St. Salt Lake City, UT 84150",Jake Carpenter,(956) 156-8544,bachelor degree,divorced,retired,82159,medical settlement
11321,Aiden Pearson,12/12/1975,male,"24 Law Lane Salt Lake City, UT 84129",Nolan Parrish,(731) 225-3802,master degree,divorced,technician,108978,intellectual property
11639,Malachi Morales,9/26/1938,female,"95 Fletcher St. Herriman, UT 84096",Alessandra Bernard,(793) 322-5663,bachelor degree,single,technician,66883,medical settlement
12089,Dwayne Garcia,3/23/1982,female,"7940 10th Street Delta, UT 84624",Felipe Yu,(200) 255-0054,bachelor degree,divorced,management,49404,work injury
12682,Raymond Rogers,9/13/1975,male,"9373 West Gartner Ave. Corinne, UT 84307",Lilyana Rice,(512) 287-2706,master degree,married,technician,109813,intellectual property
12787,Jaiden Burke,11/19/1991,male,"2 East Frost Court Cornish, UT 84308",Andy Graves,(120) 851-5091,bachelor degree,married,sales,62994,Contracts
12830,Chanel Henderson,2/11/1991,female,"35 Windfall Road Payson, UT 84651",Javion Villanueva,(695) 460-7557,master degree,divorced,admin,39640,Contracts
12845,Colton Chandler,6/1/1988,female,"327 Jade Lane Clawson, UT 84516",Cedric Houston,(497) 138-5364,master degree,divorced,admin,45435,Contracts
12847,Karla Bishop,7/5/1985,male,"1 Golden Star St. Alton, UT 84710",Gwendolyn Dickson,(430) 421-3681,bachelor degree,married,management,56214,Contracts
13262,Landyn Mccarty,9/28/1978,female,"7934 W. High Point Ave. Santaquin, UT 84655",Kaiden Thomas,(231) 729-3425,bachelor degree,single,blue collar,91279,intellectual property
13302,Cheyanne Dominguez,10/6/1995,female,"25 Trusel Drive Bicknell, UT 84715",Isaias Montoya,(801) 278-5735,bachelor degree,married,student,26355,accident litigation
13452,Kennedy Brennan,8/3/1992,female,"695 Hill Field Drive Salt Lake City, UT 84147",Viviana Berger,(250) 017-7140,master degree,single,admin,46156,Contracts
13457,Roger Carter,3/12/2000,male,"9920 Noble St. Ogden, UT 84415",Violet Gregory,(677) 507-9234,high school diploma,single,blue collar,28824,accident litigation
13682,Russell Burch,7/19/1984,female,"7710 Oakland Rd. Dutch John, UT 84023",Kassandra Blackburn,(558) 000-8636,bachelor degree,divorced,management,47111,work injury
13728,Evan Sweeney,10/9/1981,female,"65 Bath Court Elberta, UT 84626",Ronnie Walsh,(668) 898-7945,doctoral degree,divorced,expert,73506,intellectual property
13752,Trinity Buck,8/14/1996,female,"8973 Crystal Street Altonah, UT 84002",Carolina Webb,(650) 769-6746,bachelor degree,divorced,student,21038,accident litigation
13810,Leonidas Holden,2/27/1936,female,"77 Art Rd. Ogden, UT 84415",Tori Hampton,(710) 913-2350,bachelor degree,single,retired,71898,medical settlement
13838,Gage Moss,5/20/1981,male,"215 Sunshine Ave. Tropic, UT 84776",Monique Blevins,(553) 706-6658,high school diploma,divorced,blue collar,45337,work injury
14107,Osvaldo Stuart,9/5/1976,male,"995 Penrose St. Provo, UT 84606",Jasmine Schmitt,(762) 437-2769,high school diploma,divorced,blue collar,59860,work injury
14207,Brenden Garrett,9/28/1979,male,"882 Hart Street Salt Lake City, UT 84128",Vicente Ashley,(817) 383-0977,high school diploma,single,blue collar,52631,work injury
14213,Hayden Mays,4/30/1943,male,"93 Trinity St. Moab, UT 84532",Alisha Fletcher,(314) 501-5846,bachelor degree,divorced,retired,75142,medical settlement
14526,Franklin Schaefer,8/30/1982,female,"87 Archer Street Honeyville, UT 84314",Trenton Zuniga,(352) 542-0287,master degree,divorced,admin,46215,Contracts
14606,Deangelo Pollard,8/10/1972,male,"9691 Elmwood Ave. Logan, UT 84322",Ally Mckee,(131) 971-2737,master degree,married,technician,131768,intellectual property
14680,Ashanti Dillon,2/4/1976,female,"7774 Temple Street Salt Lake City, UT 84134",Jadyn Walton,(578) 686-6252,bachelor degree,single,management,49937,work injury
14731,Ayaan Johnston,5/2/1942,female,"675 Sutor St. Bicknell, UT 84715",Darrell Snow,(415) 967-4435,bachelor degree,married,retired,68352,medical settlement
14768,Justice Dickerson,7/24/1987,male,"108 Walt Whitman St. Alton, UT 84710",Brendan Lindsey,(202) 882-9605,bachelor degree,divorced,sales,58387,Contracts
15207,Ulises Hanson,8/9/1986,male,"298 Crystal Ave. Joseph, UT 84739",Marisol Wheeler,(175) 679-9120,bachelor degree,married,sales,54416,Contracts
15288,Tania Oliver,1/11/1981,male,"168 Pioneer Court Santa Clara, UT 84765",Parker Osborn,(940) 135-1026,bachelor degree,married,student,62431,work injury
15324,Naomi Wilkinson,8/24/1997,male,"39 Maiden St. Enterprise, UT 84725",Tony Bender,(199) 080-1012,high school diploma,divorced,blue collar,26688,accident litigation
15751,Ayaan Ingram,9/23/1995,male,"8628 Plumb Branch Ave. Tridell, UT 84076",Carolyn Schultz,(551) 119-9009,high school diploma,divorced,blue collar,23091,accident litigation
16651,Ellie Henry,8/22/1939,female,"27 Brickyard St. Salt Lake City, UT 84101",Valerie Williamson,(575) 055-5395,bachelor degree,married,retired,64516,medical settlement
16914,Payton Alvarado,2/14/1977,female,"8771 Liberty Rd. Oak City, UT 84649",Zaniyah Costa,(104) 909-2421,doctoral degree,married,expert,111129,intellectual property
17489,Niko Stephenson,8/19/1944,male,"939 Smith Ave. Mount Carmel, UT 84755",Christopher Cowan,(927) 363-8415,bachelor degree,single,retired,85738,medical settlement
